president names,schools
pres.—james r. grant. ,"ouachita college, arkadelphia (n.; "
pres.—m. lafayette harris. ,"**philander smith college, little rock "
pres.—lewis webster jones. ,"university of arkansas, fayetteville "
pres.—james e. o’connell. ,"st. john’s seminary, little rock (—; "
pres.—nolen m. irby. ,"arkansas state teachers college, con¬ "
pres.—d. d. mcbrien. ,"arkadelphia (n., *; st.; coed.; "
pres.—charlie s. wilkins. ,"agricultural and mechanical college, "
pres.—j. w. hull. ,"arkansas polytechnic college, russell¬ "
pres.—i. m. prince. ,"central college, north little rock "
pres.—j. w. ramsey. ,"fort smith junior college, fort smith "
pres.—a. loyd collins. ,"arkansas, beebe (—; st.; coed ; "
pres.—j. a. larson. ,"little rock junior college, little rock "
"pres.—s. s. morris, jr. ","♦♦shorter college, north little rock "
pres.—h. e. williams. ,dean of jackson theological semi¬ 
pres.—j. evan armstrong. ,"armstrong college, berkeley (—; p.; "
pres.—lee a. dubridge. ,"california institute of technology, "
pres.—george n. reeves. ,"los angeles 27 (w.; disc, of "
pres.—aymer j. hamilton. ,"chico state college, chico (w.; st.; "
pres.—sister m. rose emmanuella. ,"college of the holy names, oakland "
pres.—robert e. burns. ,p.; coed.; 878). 
pres.—sister m. patrick. ,"dominican college of san rafael, san "
pres.—arnold e. joyal. ,"fresno state college, fresno (a., *ed.; "
pres.—hugh m. tiner. ,"george pepperdine college, los ange¬ "
pres.—arthur s. gist. ,"humboldt state college, areata (w.; "
pres.—sister m. eucharia. ,"immaculate heart college, los angeles "
pres.—godfrey t. anderson. ,"la sierra college, arlington (w.; "
pres.—harold d. fasmacht. ,"la verne college, la verne (—; ch. "
pres.—edward j. whelan. ,"loyola university of los angeles, los "
"pres.—lynn townsend white, jr. ","mills college, oakland (a.; p.; wo.; "
pres.—sister imarie de lourdes. ,(w.; k. c.; wo.; 395). 
pres.—arthur g. coons. ,"occidental college, los angeles (a.; "
pres.—percy w. christian. ,"pacific union college, angwin (w.; s. "
"pres.—w. t. purkiser, acting. ","pasadena college, pasadena (w.; naz.; "
pres.—e. wilson lyon. ,"pomona college, claremont (a.; p.; "
"pres.—bro. austin, ",mary’s college (w.; r. c.; men; 
pres.—thomas c. mulligan. ,"st. patrick’s seminary, imenlo park "
pres.—walter r. hepner. ,"san diego state college, san diego "
pres.—mother leonor mejia. ,"san francisco (a., w.; r. c.; wo; "
pres.—j. paul leonard. ,"san francisco state college, san fran¬ "
pres.—t. w. macquarrie. ,"san jose state college, san jose (a., "
pres.—frederick hard. ,"scripps college, claremont (a., p.; "
"pres.—alvin c. enrich, acting. ","stanford university, stanford uni¬ "
pres.—robert g. sproul. ,"mt. hamilton (a.; st.; coed,; "
pres.—george h. armacost. ,"university of redlands, redlands (a.; "
pres.—william j. dunne. ,i 
pres.—william c. gianera. ,"university of santa clara, santa clara "
"pres.—fred dow fagg, jr. ","university of southern california, los "
ed. vice pres.—a. s. raubenheimer. ,"angeles (a.; p.; coed.; 16,401). "
finan. vice pres.—robert d. fisher. ,"pres.—fred dow fagg, jr. "
pres.—james forrester. ,"westmont college, santa barbara (—; "
pres.—william c. jones. ,"whittier college, whittier (a.; p.; "
pres.—sandford fleming. ,"berkeley baptist divinity school, ber¬ "
pres.—julian a. mcphee. ,san luis obispo (—; st.; men; 
pres.—george t. harding. ,"linda and los angeles (*, w.; s. "
"pres.—nagel t. miner, ","golden gate college, san francisco "
pres.—j. g. goodsell. ,"los angeles school of optometry, los "
pres.—ronald bridges. ,(* ; interdenom.; coed ; 60).—grad¬ 
pres.—william p. barr. ,"st. john’s seminary, camarillo (—; "
pres.—jesse h. baird. ,san anselmo (*; presh.; coed.; 
"pres.—miriam schumacher, ","southwestern university, los angeles "
pres.—gardiner w. spring. ,"chaffey junior college, ontario (—; "
pres.—a. j. cloud. ,"city college of san francisco, san "
pres.—sister helen bernadine. ,"college of notre dame, belmont (—; "
pres.—j. b. leraos. ,"hartnell college, salinas (—; dist.; "
pres.—g. a. collyer. ,"lassen junior college, susanville (—; "
pres.—einar william jacobsen. ,"los angeles city college, los angeles "
pres.—alton c. mamath. ,"los angeles pacific college, los an¬ "
"pres.—w’ard h, austin. ","marin junior college, kentfield (—; "
pres.—william e. kratt. ,"menlo junior college, ltd,, menlo park "
pres.—henry t. tyler. ,"modesto junior college, modesto (—; "
pres.—h. m. mcpherson. ,"napa junior college, napa (—; dist.; "
pres.—harold e. chastain. ,"placer college, auburn (—; dist; "
pres.—a. g. paul. ,"riverside college, riverside (—; dist.; "
pres.—nicholas ricciardi. ,"sacramento college, sacramento (—; "
pres.—john l. lounsbury. ,"san bernardino valley college, san "
pres.—t. w. macquarrie. ,"san jose district junior college, san "
pres.—charles s. morris. ,"san mateo junior college, san mateo "
pres.—elmer c. sandmeyer. ,"santa monica city college, santa "
pres.—floyd p. bailey. ,"santa rosa junior college, santa rosa "
"asst, to pres.—h. r. newman. ","(—; dist.; coed.; 1,137). "
pres.—george p. chaffey. ,"vallejo college, 840 nebraska st., val¬ "
pres.—l. j. williams. ,"visalia junior college, visalia (—; "
pres.—j. j. collins. ,"yuba college, marysville (—; co.; "
pres.—i. e. newsom. ,"college, fort collins (n.; st.; "
"pres.—william h. gill, acting. ","colorado college, colorado springs "
pres.—sister frances marie. ,"loretto heights college, loretto (n.; "
pres.—raphael c. mccarthy. ,"regis college, denver (—; r. c.; men ; "
pres.—robert l. stearns. ,"university of colorado, boulder and "
pres.—ben. h. parker. ,"colorado school of mines, golden "
pres.—edward r. bartlett. ,"iliff school of theology, denver (*; "
pres.—ira richardson. ,"adams state college, alamosa (* ; st.: "
vice pres.—j. l. kittle. ,coed.; 693). 
pres.—william robert ross. ,"greeley (a., n., ♦; st.; coed.; "
pres.—peter p. mickelson. ,"western state college of colorado, "
pres.—j. e. hiichingson. ,"colorado woman’s college, denver "
pres.—g. kent mccauley. ,"la junta junior college, la junta "
pres.—horace j. wubben. ,"mesa county junior college, grand "
pres.—marvin c. knudson. ,"pueblo junior college, pueblo (—; st.; "
pres.—dwight c. baird. ,"trinidad state junior college, trini¬ "
pres.—sister irmina longstreth. ,"albertus magnus college, new haven "
pres.—imother francois des anges. ,"annhurst college, putnam (—; r. c.; "
pres.—rosemary park. ,"connecticut college, new london (a., "
pres.—mother maria francis. ,"st. joseph college, west hartford (e.; "
pres.—george keith funston. ,"trinity college, hartford (a., e.; p.; "
pres.—albert n. jorgensen. ,"(new london), and avaterbury "
pres.—victor l. butterfield. ,"wesleyan university, middletown (a., "
pres.—charles seymour. ,"men, wo. undergraduate "
pres.—russell henry stafford. ,"hartford seminary foundation, hart¬ "
pres.—edward j. brown. ,"ical education, milford (—; p.; "
pres.—ruth a. haas. ,"danbury state teachers college, dan¬ "
pres.—e. louise hoyt. ,"school, bridgeport (—; p.; wo.; "
pres.—s. m. brownell. ,"new haven state teachers college, "
pres.—herbert d. welte. ,"larson college,^ new haven (—; p.; "
pres.—j. eugene smith. ,"avillimantic state teachers college, "
pres.—alan s. wilson. ,"hillyer college,^ hartford (—; p.; "
pres.—samuel w. tatdr. ,"junior college of commerce, new "
pres.—john c. allen. ,"junior college of physical therapy, "
pres.—george y. larson. ,dean of wo.—grace m. stewart. 
pres.—tyrus hillway. ,"new london junior college, new lon¬ "
pres.—james h. halsey. ,university of bridgeport^ bridgeport 
pres.—howard d. gregg. ,"♦^delaware state college, dover (m.; "
pres.—william s. carlson. ,"university of delaware, newark (a., "
pres.—allan a. macrae. ,"faith theological seminary, wilming¬ "
pres.—o. a. bartley. ,"wesley junior college, dover (—; "
pres.—paul f. douglass. ,"american university, the, washington "
pres.—sister m. frederick. ,"dunbarton college of holy cross, "
pres.—leonard m. elstad. ,"gallaudet college, washington (—; "
pres.—cloyd heck marvin. ,"george washington university, wash¬ "
pres.—lawrence clifton gorman. ,"georgetown university, washington "
pres.—mordecai w. johnson. ,"♦♦howard university, washington (a., "
pres.—sister catherine dorothea. ,"trinity college, washington (a., m.; "
pres.—william h. shephard. ,"koma park (m.; s. d. a.; coed,; "
pres.—william e. leahy. ,"columbus university (evening), wash¬ "
pres.—armond w. scott. ,"♦♦robert h. terrell law school, wash¬ "
pres.—leroy j. maas. ,"southeastern university, washington "
pres.—david mck. rioch. ,"washington school of psychiatry, "
pres.—^walter e. hager. ,"lege, washington (m.,*; c.; coed.; "
pres.—eugene a. clark. ,"**miner teachers college, washington "
pres.—frances r. brown. ,"chevy chase junior college, washing "
pres.—mother margaret mary sheer- ,georgetown visitation junior college 
pres.—jessie m. holton. ,holton arms school and junior col 
pres.—sister st. philomene. ,"immaculata junior college, washing "
pres.—marjorie f. webster. ,marjorie webster junior college. 
pres.—george w. lloyd. ,"mount vernon junior college, wash¬ "
pres.—rev. mother m. gerald. ,"barry college for women, miami (—; "
pres.—richard v. moore. ,"**bethune-cookman college, daytona "
"pres.—william h. gray, jr. ","college for negroes, tallahassee "
pres.—john l. tilley. ,"lege, st. augustine (fs.; p.; coed.; "
pres.—ludd m. spivey. ,"florida southern college, lakeland "
pres.—doak s. campbell. ,"florida state university, tallahassee "
pres.—j. ollie edmunds. ,"john b. stetson university, de land "
pres.—hamilton holt. ,"rollins college, winter park (s.; p.; "
pres.—j. hillis miller. ,"university of florida, gainesville (a., "
vice pres.—john s. allen. ,"s.; st.; coed.; 8,734). "
pres.—bowman f. ashe. ,"university of miami, coral gables (s.; "
pres.—e. c. nance. ,"university of tampa, tampa (—; p.; "
pres.—george orner. ,"jacksonville college of music, jack¬ "
pres.—amos j. white. ,"=^*edward waters college, jacksonville "
pres.—garth h. abridge. ,"jacksonville junior college, jackson¬ "
pres.—addison l. williams. ,"orlando junior college, orlando (—; "
pres.—roland a. wakefield. ,"st. petersburg junior college, st. "
pres.—james r. mccain. ,"agnes scott college, decatur (a., s.; "
pres.—rufus e. clement. ,coed.; 425)—graduate and pro¬ 
pres.—james p. brawley. ,**clark college (s.; meth.; coed.; 
pres.—benjamin e. mays. ,**morehouse college (a. s.; bapt.; 
pres.—florence m. read. ,"**spelman college (a., s.; bapt.; "
pres.—james armour lindsay. ,"berry college, mount berry (—; p.; "
pres.—w. fred gunn. ,"bessie tift college, forsyth (s.; bapt.; "
pres.—josiah crudup. ,"brenau college, gainesville (—; p.; "
pres.—goodrich c. white. ,"and sciences and bus. admin., "
pres.—c. v. troup. ,"**fort valley state college,^ fort val¬ "
pres.—james a. colston. ,"♦♦georgia state college,  industrial "
pres.—guy h. wells. ,"georgia state college for women,  "
"pres.—j. ralph thaxton, acting. ","georgia state womans college,  val¬ "
"pres.—waights g. henry, jr. ","lagrange college, la grange (s.; "
pres.—spright dowell. ,"mercer university, macon (s.; bapt.; "
"pres.—william a. fountain, jr. ","♦♦morris brown college, atlanta (s.; "
pres.—jonathan c. rogers. ,"north georgia college,  dahlonega "
pres.—philip weltner. ,"oglethorpe university, oglethorpe uni¬ "
pres.—edmund c. i’eters. ,"♦♦paine college, augusta (s.; meth. "
pres.—albert ray van cleave. ,"piedmont college, demorest (—; p.; "
pres.—charles w. burts. ,"shorter college, rome (a., s.; bapt; "
pres.—harmon w. caldwell. ,"university of georgia,  athens (a., "
pres.—silas johnson. ,"wesleyan college, macon (s.; meth.; "
pres.—j. mcdowell richards. ,"columbia theological seminary, deca¬ "
pres.—harry v. richardson. ,"♦♦gammon theological seminary, at¬ "
"pres.—blake ragsdale van leer, ","lanta and chamblee (a., s.; st.; "
pres.—clifford walker. ,"woodrow wilson college of law, "
pres.—^aaron brown. ,"♦♦albany state college,* albany (ts.; "
pres.—zach s. henderson. ,"georgia teachers college,* collegeboro "
pres.—george p. donaldson. ,abraham baldwin agricultural col¬ 
pres.—s. c. olliff. ,"andrew college, cuthbert (s.; meth,; "
pres.—foreman m. hawes. ,"armstrong junior college, savannah "
pres.—charles t. ricks. ,"brewton-parker junior college, mt. "
pres.—thomas l. aaron. ,"emmanuel college, franklin springs "
pres.—w. r. brewster. ,"georgia military academy, college "
pres.—j. h. jenkins. ,"georgia military college, milledgeville "
pres.—henry king stanford. ,"georgia southwestern college,^ ameri- "
pres.—j. e. guillebeau. ,"gordon military college, barnesville "
pres.—eric w. hardy. ,"junior college of augusta, augusta "
pres.—l. a. moll. ,"middle georgia college,^ cochran (s.; "
pres.—william t. bodenhamer. ,"norman junior college, norman park "
"pres.—j. r. burgess, jr. ","reinhardt college, waleska (—; "
pres.—sandy beaver. ,"riverside military academy), "
pres.—william spencer smith. ,"south georgia college,^ douglas (s.; "
pres.—i. s. ingram. ,"west georgia college,^ carrollton (s.; "
"pres.—walter downs, ","young l. g. harris college, young "
pres.—gregg m. sinclair. ,"university of hawaii, honolulu (a.; "
"pres.—ledru a. williams, acting. ","college of idaho, caldwell (w.; presb.; "
"pres.—carl w. mcintosh, jr. ","idaho state college, pocatello (jw.; "
pres.—lewis t. corlett. ,"northwest nazarene college, nampa "
pres.—j. e. buchanan. ,"university of idaho, moscow (a., w.; "
pres.—glenn w. todd. ,"northern idaho college of education, "
pres.—eugene b. chaffee. ,"boise junior college, boise (w.; dist.; "
pres.—g. o. kildow. ,"north idaho junior college, coeur "
pres.—john l. clarke. ,"ricks college,^ rexburg (w.; l. d. s.; "
pres.—conrad bergendoff. ,"seminary, rock island (a., n.; "
pres.—r. h. snyder. ,"southern idaho college of education, "
pres.—theodore p. stephens. ,pres.—r. h. snyder. 
pres.—mother margaret reilly. ,"barat college of the sacred heart, "
pres.—david blair owen. ,"bradley university, peoria (a., n.; p.; "
pres.—erland nelson. ,"carthage college, carthage (n.; luth.; "
pres.—sister m. aniceta. ,"college of st. francis, joliet (n.; r. c.; "
pres.—comeford j. o’malley. ,"depaul university, chicago (n.; r. c.: "
pres.—h. w. dinkmeyer. ,"elmhurst college, elmhurst (n. ; "
pres.—burrus dickinson. ,"eureka college, eureka (—; disc, of "
pres.—harold coe coffman. ,"ave., chicago 15 (n.; p.; coed.' "
pres.—h. j. long. ,"greenville college, greenville (n.; f. "
pres.—h. gary hudson. ,"illinois college, jacksonville (a., n.; "
pres.—henry townley heald. ,"illinois institute of technology, chi¬ "
"pres.—m, j. holmes. ","illinois wesleyan university, bloom¬ "
pres.—j. walter malone. ,"james millikin university, decatur "
"pres.—kellogg d. mcclelland, acting. ","knox college, galesburg (a., n.; p.; "
pres.—ernest a. johnson. ,"lake forest college, lake forest (a., "
"pres.—sister m. leontine, acting. ","le clerc college, belleville (—; p.; "
pres.—james t. hussey. ,"loyola university, chicago (n.; r. c.; "
pres.—carl c. bracy. ,"mckendree college, lebanon (—; "
pres.—clarence p. mcclelland. ,"macmurray college for women, jack¬ "
pres.—james harper grier. ,"monmouth college, monmouth (a., n.; "
pres.—sister mary josephine. ,"mundelein college, chicago 40 (n.; "
pres.—c. h. geiger. ,"north central college, naperville (a., "
pres.—franklyn bliss snyder. ,"northwestern university, evanston and "
pres.—selden dee kelley. ,"olivet nazarene college, kankakee "
pres.—frederic e. morgan. ,"principia college, the, elsah (n.; p. "
pres.—seraphin tibesar. ,"quincy college, quincy (—; r. c.; "
pres.—mary ashby check. ,"rockford college, rockford (a., n.: "
pres.—edward j. sparling. ,"roosevelt college, 430 s. michigan ave., "
pres.—sister mary peter. ,"rosary college, river forest (a., n.; "
pres.—sister mary huberta. ,"st. francis xavier college for women, "
pres.—ambrose ondrak. ,"st. procopius college, lisle (—; r. c.; "
pres.—david andrew weaver. ,"shurtleff college, alton (—; bapt.; "
pres.—delyte w. morris. ,"southern illinois university, carbon- "
pres.—ernest c. colwell. ,"p.; coed.; 11,545). "
vice pres.—j. a. cunningham. ,"vice pres, and dean of faculties.—r. "
vice pres.—l. a. williams. ,wendell harrison. 
pres.—george d. stoddard. ,"university of illinois, urbana and chi¬ "
pres.—v. raymond edmon. ,"wheaton college, wheaton (a., n.; "
pres.—lewis m. churbuck. ,"michigan ave., chicago 3 (—; p.; "
pres.—john r. hattstaedt. ,"american conservatory of music, chi¬ "
pres.—rufus d. bowman. ,"bethany biblical seminary, chicago "
pres.—samuel d. hauser. ,200). 
pres.—richard n. macbain. ,"chicago college of osteopathy, chicago "
pres.—edgar nelson. ,"chicago conservatory, fine arts bldg., "
pres.—harry e. jessop. ,"chicago evangelistic institute, chicago "
pres.—charles w. morey. ,treas.—earl l. owens. 
"pres.—arthur c. mcgiffert, jr. ","university ave., chicago 37 (*; "
pres.—norman alexandroff. ,"columbia college, 410 s. michigan "
pres.—webster h. burke. ,"chicago-kent college of law, chicago "
pres.—annin george weng. ,"nary, maywood (* ; u. luth.; men ; "
pres.—rudolph ganz. ,"chicago musical college, chicago (n., "
pres.—g. christian barth. ,chicago (—; p.; coed.; 30). 
pres.—clarence eidam. ,"wabash ave., chicago (*; p.; "
pres.—h. r. heininger. ,"evangelical theological seminary, na¬ "
pres.—horace g. smith. ,"garrett biblical institute, evanston "
pres.—serge chermayeff. ,"institute of design, chicago (—; p., "
pres.—r. w. leib. ,"lincoln college of law (evening), "
pres.—robert worth frank. ,"mccormick theological seminary, chi¬ "
vice pres.—kenneth neigh. ,cago (*; presb.; men; 193). 
pres.—wallace w. robbins. ,"meadville theological school, chicago "
pres.—charles w. koller. ,"(chicago 12 (n., $; bapt.; coed.; "
pres.—william b. needles. ,northern illinois college of optome¬ 
pres.—robert worth frank. ,"cation, 2330 n. halsted st., chicago "
pres.—chauncey mccormick. ,"school of the art institute of chicago, "
pres.—alden drew kelley. ,seabury-western theological semi¬ 
pres.—h. a. vandercook. ,"washington blvd., chicago (—; "
pres.—arthur w. klinck. ,"concordia teachers college, river for¬ "
pres.—robert g. buzzard. ,"eastern illinois state college, charles¬ "
pres.—r. w. fairchild. ,"illinois state normal university, nor¬ "
pres.—edna dean baker. ,"national college of education, evans¬ "
"pres.—karl l. adams, ","lege, de kalb (n., *; st.; coed.; "
pres.—herman h. hegner. ,"410 s. michigan ave., chicago (—; "
"pres.—frank a, beu. ","western illinois state college, macomb "
pres.—robert w. mcewen. ,"blackburn college,^ carlinville (n.; p.: "
pres.—t. otmann firing. ,"evanston collegiate institute, evans¬ "
pres.—albin c. bro. ,"frances shimer college, mount carroll "
pres.—raymond n. dooley. ,"lincoln college, lincoln (n.; presb., "
pres.—mother ignata. ,"mallinckrodt college, wilmette (—; "
pres.—john ripley young. ,"monticello college, alton (n.; p.; wo.; "
pres.—william p. maclean. ,"morton junior college, cicero (n.; "
pres.—algoth ohlson. ,"north park college, chicago (n.; "
bus. off.-vice pres.—j. frederick ,pres.—algoth ohlson. 
pres.—lawrence a. vohs. ,"st. bede college, peru (—; r. c.; men ; "
pres.—mother mary de pazzi. ,"springfield junior college, springfield "
pres.—john a. morrison. ,"inary, anderson (n.; ch. of god ; "
pres.—m. o. ross. ,"butler university, indianapolis (a., n.; "
"pres.—douglas r. maclaury, acting. ","canterbury college, danville (—; "
pres.—clyde e. wildman. ,"depauw university, greencastle (a., "
pres.—thomas e. jones. ,"earlham college, earlham (a., n.; fr.; "
pres.—lincoln b. hale. ,"evansville college, evansville (n.; p.; "
pres.—ernest e. miller. ,"goshen college, goshen (n.; menon.; "
"pres.—albert g. parker, jr. ","hanover college, hanover (n.; presb. "
pres.—elmer becker. ,"huntington college, huntington (—; "
pres.—i. lynd esch. ,"indiana central college, indianapolis "
pres.—herman b. wells. ,"indianapolis (a., n.; st; coed.; "
pres.—v. f. schwalm. ,"manchester college, north manchester "
pres.—mother m. clarissa. ,"marian college, indianapolis (—; r. c.; "
pres.—william f. mcconn. ,"marion college, marion (—; wes. "
pres.—james e. cox. ,"oakland city college, oakland city "
pres.—frederick l. hovde. ,"purdue university, lafayette (a., n.; "
pres.—mother m. philotera. ,"st. francis college, fort wayne (—; "
pres.—henry a. lucks. ,"st. joseph’s college, collegeville (—; "
pres.—mother mary bernard. ,"mary-of-the-woods (a., n.; r. c.; "
pres.—sister m. madeleva. ,"st. mary’s college, notre dame, holy "
pres.—clyde w. meredith. ,"taylor university, upland (n.; p.; "
pres.—john j. cavanaugh. ,"university of notre dame, notre "
pres.—o. p. kretzmann. ,"valparaiso university, valparaiso (n.; "
pres.—frank hugh sparks. ,"wabash college, crawfordsville (a., "
pres.—walter h. mcbride. ,"fort wayne art school, fort wayne "
pres.—alva j. mcclain. ,"grace theological seminary, winona "
pres.—archie t. keene. ,"indiana technical college, fort wayne "
"pres.—f. d. wilkinson, jr. ","rose polytechnic institute, terre haute "
pres.—ignatius esser. ,"st. meinrad seminary, st. meinrad (—; "
"pres.—j. glenn radcliffe, acting. ","tri-state college, angola (—; p.; "
pres.—john r. emens. ,"ball state teachers college, muncle "
pres.—ralph n. tirey. ,women’s activities—martha wick¬ 
pres.—herbert g. bredemeier. ,"concordia college, fort wayne (—; "
pres.—walter a. davis. ,"vincennes university, vincennes (—; "
pres.—sister jean marie. ,"briar cliff college, sioux city (n.; "
pres.—henry olson. ,"buena vista college, storm lake (—; "
pres.—gerrit t. vander lugt. ,"central college, pella (n.; ref.; coed.; "
pres.—sister mary anne leone gra¬ ,"clarke college, dubuque (n.; r. c.; "
pres.—byron s. hollinshead. ,"coe college, cedar rapids (a., n.; "
pres.—russell d. cole. ,"cornell college, mount vernon (a., n.; "
pres.—henry g. harmon. ,"drake university, des moines (a., n.; "
pres.—samuel n. stevens. ,"grinnell college, grinnell (a., n.; p.; "
vice pres.—l. c. chrysler. ,"coed.; 1,142). "
pres.—charles e. friley. ,"mechanic arts, ames (a., n.; st.; "
pres.—stanley b. niles. ,"iowa wesleyan college, mount pleas¬ "
pres.—w. a. spring. ,"kletzing college, university park (—; "
pres.—s. d. luby. ,"loras college, dubuque (a,, n.; r. c.; "
pres.—o. j. h. preus. ,"luther college, decorah (n.; evan. "
pres.—earl a. roadman. ,"morningside college, sioux city (n.; "
pres.—tom e. shearer. ,"parsons college, fairfield (—; presb.; "
pres.—ambrose j. burke. ,"lege, davenport (n,; r. c.; cord.; "
pres.—edwin edgar voigt. ,"simpson college, indianola (a., n.; "
pres.—virgil m. hancher. ,"state university of iowa, iowa city "
"pres.—vivian t. smith, ","upper iowa university, fayette (—; "
pres.—c. h. becker. ,"wartburg college, waverly (n.; luth.; "
"pres.—cecil hinshaw, ","william penn college, oskaloosa (—; "
pres.—edwin f. peters. ,"and surgery, des moines (*; p.; "
pres.—bernard j. holm. ,"wartburg place, dubuque (*; "
pres.—malcolm price. ,"iowa state teachers college, cedar "
"pres.—e. j. gleazer, jr. ","graceland college, lamoni (n.; reorg. "
pres.—j. knudsen. ,"grand view college, des moines (—; "
pres.—b. r. miller. ,"marshalltown junior college, marshall¬ "
pres.—sister mary ildephonse. ,"mount mercy junior college, cedar "
pres.—mother mary john mckeever. ,"mount st. clare junior college, clin¬ "
pres.—jacob heemstra. ,"northwestern junior college, orange "
pres.—morton o. nilssen. ,"waldorf college, forest city (n.; "
pres.—nelson p. horn. ,"baker university, baldwin city (a., "
pres.—emory lindquist. ,"bethany college, lindsborg (n.; luth.; "
pres.—ed. g. kaufman. ,"bethel college, north newton (n.; "
pres.—paul b. mccleave. ,"college of emporia, emporia (—; "
pres.—lyman d. wooster. ,"fort hays kansas state college, hays "
pres.—sheppard a. watson. ,"friends university, wichita (—; fr.; "
pres.—milton s. eisenhower. ,"and applied science, manhattan "
pres.—herbert jackson root. ,"kansas wesleyan university, salina "
pres.—w. w. peters. ,"mcpherson college, mcpherson (n.; "
pres.—mother mary chrysostom ,"marymount college, salina (n.; r. c.; "
pres.—mother lucy dooley. ,"mount st. scholastica college, atchison "
pres.—william m. jardine. ,"municipal university of wichita, "
pres.—^andrew b. martin. ,"ottawa university, ottawa (n.; bapt.; "
pres.—cuthbert mcdonald. ,"st. benedict’s college, atchison (n.; "
pres.—arthur m. murphy. ,"saint mary college, xavier (n.; r. c.; "
pres.—mearl p. culver. ,"southwestern college, winfield (n.; "
pres.—william m. mccreery. ,"sterling college, sterling (—; u. "
pres.—peter e. schellenberg. ,"tabor college, hillsboro (—; menon. "
pres.—bryan s. stoffer. ,"peka, topeka (a., n.; c.; coed.; "
pres.—william w. adams. ,"central baptist theological seminary, "
pres.—david l. macfarlane. ,"kansas state teachers college, em¬ "
pres.—rees h. hughes. ,"kansas state teachers college, pitts¬ "
pres.—mendal b. miller. ,"central college, mcpherson (—; f. "
pres.—sheldon g. jackson. ,"friends bible college, haviland (—; "
pres.—milo kauffman. ,"hesston college, hesston (—; menon.; "
pres.—j. f. avellemeyer. ,"kansas city kansas junior college, "
pres.—charles a. smith. ,"sacred heart college, wichita (—; "
pres.—carl s. mundinger. ,"st. john’s lutheran college, winfield "
pres.—terence moffat. ,st. joseph’s college and military acad¬ 
pres.—mother cecilia koehler. ,"ursuline college of paola, paola (—; "
pres.—z. t. johnson. ,"asbury college, wilmore (s.; p.; "
pres.—francis s. hutchins. ,"berea college, berea (a., s.; p.; coed.; "
pres.—walter a. groves. ,"centre college of kentucky, danville "
pres.—samuel s. hill. ,"georgetown college, georgetown (s.; "
pres.—^^r. b. atwood. ,"**kentucliy state college, frankfort "
pres.—paul shell powell. ,"kentucky wesleyan college, winches¬ "
pres.—sister mary anastasia coady. ,"nazareth college, louisville (s.; r. c.; "
pres.—raymond p. mclain. ,"transylvania college, lexington (s.; "
