president names,schools
pres.—j. f. drake. ,"ical college, normal (s.; st.; "
pres.—john t. caldwell. ,"alabama college, montevallo (a., s.; "
pres.—r. b. draughon. ,"alabama polytechnic institute, auburn "
pres.—e. r. nayldr. ,"athens college, athens (—; meth,; "
"pres.—george r. stuart, jr. ","mingham (a., s.; meth.; coed.; "
pres.—harwell g. davis. ,"howard college, birmingham (a., s.; "
"asst, to pres.—lent s. brewster, ",pres.—harwell g. davis. 
pres.—hubert searcy. ,"huntingdon college, montgomery (s,; "
pres.—j. i. riddle. ,"judson college, marion (s.; bapt.; "
pres.—w. a. bell. ,"**miles college, birmingham (fs.; c. "
pres.—william p. donnelly. ,"spring hill college, spring hill (s.; "
pres.—a. d. beittel. ,"♦♦talladega college, talladega (a., s.; "
pres.—john m. gallalee. ,"birmingham (a., s.; st.; coed; "
pres.—dorsey whittington. ,"birmingham conservatory of music, "
pres.—walter b. jones. ,"jones law school, montgomery (—; "
pres.—f. d. patterson. ,"♦*tuskegee institute, tuskegee insti¬ "
pres.—j. a. keller. ,"state teachers college, florence (s., "
pres.—houston cole. ,"state teachers college, jacksonville "
pres.—w. w. hill. ,"state teachers college, livingston (s., "
pres.—h. councill trenholm. ,"**state teachers college, montgomery "
pres.—chas. b. smith. ,"state teachers college, troy (s., *; "
pres.—j. t. murfee. ,"marion institute, marion (s.; p.; men ; "
pres.—f. l. peterson. ,"♦*oakwood college, huntsville (s.; "
pres.—boniface seng. ,"st. bernard college, st. bernard (s.; "
pres.—f. ivi. cook. ,"snead junior college, boaz (s.; meth.; "
pres.—paul f. bechtold. ,"southern union college, wadley (—; "
pres.—a. l. jackson. ,presb.; coed.; 177). 
pres.—charles e. bunnell. ,"university of alaska, college (w.; "
pres.—harry a. brandt. ,lib.—john mehler. 
pres.—j. byron mccormick. ,"university of arizona, tucson (a., n.; "
pres.—l. a. eastburn. ,"arizona state college, flagstaff (n., "
pres.—grady gammage. ,"arizona state college, tempe (n., *; "
pres.—w. h. harless. ,"gila junior college of graham county, "
pres.—e. w. montgomery. ,"phoenix college, phoenix (n.; dist; "
pres.—lawrence a. davis. ,"mal college, pine bluff (—; st.; "
pres.—wtlliam e. morgan. ,"college, monticello (n.; st.; coed.; "
pres.—tandy washington coggs. ,"**arkansas baptist college, little rock "
pres.—john d. spragins. ,"arkansas college, batesville (—; "
pres.—w. j. edens. ,"arkansas state college, state college "
pres.—wiley lin hurie. ,"college of the ozarks, clarksville (—; "
pres.—george stuart benson. ,"harding college, searcy (—; ch. of "
pres.—matt l. ellis. ,"hendrix college, conway (a., n.; "
"pres.—john e. brown, jr. ","john brown university, siloam springs "
