president names,schools
president . rex a. turner ,alabama christian college 
president . dr. levi watkins ,alabama state university 
resident . charles w. davis ,albert p brewer state jc ; 
resident . r. byron w. causey ,alexander city state jc 
resident . sidney e. sandridge ,athens college | 
president . harry m. philpott ,aubum u central office | 
vice president . dr. hanly h. funderburk jr. , auburn u at montgomery 
president .|j dr. charles d. houn shelt ,birmingham sthn college 
president . sr. mary lourdes michel ,cullman college | co 
president . dr. allan d. naylor ,iel payne college 
president .| mr. phillip j. hamm ,geo wallace state tech jc 
x president . alen k. jackson ,huntingdon college 
i president . r. emest stone ,5 jacksonvl st university lo . 
president . woodfin p. patterson ,jefferson davis state jc 
president . dr. george l. layton ,jefferson st jr college | 
president . cartton w. kelley ,john c calhoun st tech jc 
president . dr. norman h. mccrummen ,judson college 
president . john e. deloney ,livingston university 
"president . dr. william h, mcwhorter ",lurleen b wallace st jc 
presidnt . col. paul b. robinson ,marion institute 
sident . dr. sanford d. bishop ,obile college 
president . wdr. james a glasgow ,thest ala st jr college 
president . . wwiilr. calvin b. rock ,thwst ala st jr college 
president . hbemie e. loe si ,
} resident . ht rev gregory j. roettger s1 ,saint bernard college 
by president . .r. leslie s. wright { ,ly samford university 
sident . wc cleveland ir. ,sima university 
sldent . wirgil b. mccaln ,ead state jr college 
president . mr. l. ray jones hig ,hestn bible college 
president . v rev william j. rimes tek ,spring hill college treas: 
president . dr. harold n. stinson librari ,stillman college tele 
: president . . dr. herman h. long cout ,librarian . miss martha o'rourke *troy 
. mr. robert m. pau) ,; theodore a lawson st jc | bo 
. . wdr. james e. bailey jr. ,state u montgomery 
president . dr. l h. foster ,egee institute 
president . dr. joseph f. volker ,
i president . dr. benjamin b. graves ,: u alabama in huntsville . 
president . dr. f. david mathews ,u of alabama tuscaloosa 
president . . dr. kermit a. johnson ,university of montevallo 
president . dr. frederick p. whiddon ,u of south alabama | 
president . david j. rowland ,walker college 
presideat . . . . . . . dr. orin r. stratton ,
cl . r . ec ,
il ,
resident director . dr. james l sim ,
resident directar . mr. louis j. | ,*u of alaska sitka cc 
president . john w. sciw ,arizona state university 
president . dr. coors l ,arizona western college 
president . dr. don p. pence ,central arizona college 
president . dr. john r. edwards jk. ,cochise college 
president . dean a. curtis ,eastern arizona college 
president . dr. arthur k. tyson ,grand canyon college 
exec dean & district vice pres . dr. matt o. hanhila ,maricopa co jc sys office 
exec dean district vice pres . mr. norbert |. bruemmer ,*maricopa tech college 
exec dean & district vice pres . dr. john d. riggs ,*mesa community college 
exec dean & district vice pres . dr. wiliam e. beny i ,*phoenix college 
exec dean & dist vice pres . dr. marion g. donaldson 3 ,
president . dr. ned a hathathii | ,navajo community college | bo 
exec vice pres & provost . dr. virgil w. gillenwater ,northem ariz university co | 
president . r. kenneth harper | ,pima college | 
president . john j. dougherty ,prescott college 
; president . dr. charles w. voris ,
president . dr. john p. schaefer ,
resident . dr. john w. bames ,yavapai college | 
resident . . dr. lawrence a. davis ,agrl mech normal college 
president . dr. j. c oliver dea ,arkansas baptist college 
president . dr. r. w. wygle c ,arkansas college dea 
president . dr. george l b. pratt c ,arkansas poly college a 
president . dr. emmett smith ,kansas state u main cam 
president . dr. clifton l ganus ,harding college cen off 
deen . dr. w. b. west j. ,*harding grad sch religion | 
president . dr. martin b. garrison ,henderson state college 
president . dr. roy b. shilling jr. ,hendrix college 
per ,john brown university 
president . dr daniel r. grant bt ,ouachita bapt university | co 
president . john w. easley direct ,phillips co cmty college on 
president .j dr. lonnie johnson fay ,shorter college direct 
accreditation—n. presid ,southern baptist college fa 
chancelior . dr. carey v. stabler ,them state college 
vice pres for health sciences . dr. james l dennis ,w of arkansas medical ctr 
466-931 o - 72 . 3 ,*u of arkansas-monticello 
president .| mr. shelby breedlove ,westark junior college ; 
president and superintendent . mr. walter e. conrad ,allan hancock college 
president . r. c. adrian | ,*amer bapt sem west-berk . | 
vice president . donald f. ti ,*amer bapt sem whest covina 
president and superintendent . william n. keg ,antelope valley college 
president . mr. john e. arm: ,armstrong college 
president and director . don kubly ,art ctr college of design 
president . cornelius p. haggard ,uaster azusa pacific college 
president . bums finlinson ,bakersfield college 
o xl pres st wh ,barstow college 
president . dr. cordas c. bumett ,bethany bible college 
president . dr. j. richard chase ,biola college 
president . ernest h. brooks ,brooks inst santa barbara 
superintendent and president . albert a. schlueter - . ,butte college 
erintendent and president . dr. robert e. swenson ,abrillo college 
sident . dr. james r. staples ,al baptist college 
sident . harry x. ford ,al college arts & crafts 
2 pres fiscal adminv aff . mr. john r. howard ,al college podiatric med 
interim president . rev. william a. poehler ,cal concordia college 
president . robert w. corrigan ,california inst of arts l 
president . dr. harold brown ,cal inst of technology 
aching president . maurice h. knutson ,cal lutheran college 
resident and dean . dr. nicholas a. cummings ,
ssistant dean . dr. s. don schultz ,
assistant dean . dr. arthur l. kovacs ,
president . dr. paul f. romberg ,cal st college system off 
president . dr. leo f. cain . ,*cal state c dominguez his her 
ce pres for academic affairs . miles d. mccarthy ,cal st college fullerton 
ce pres for ac ademic affairs . .maurice e. dance ,cal st college hayward 
president . stephen horr ,zal st college long beach se l ee 
president . john a. greenlee ,*cal st college los ang 
president . dr. john m. pfau ,*cal state c sn bernardino 
president . dr. robert c. kramer ,*cal state poly c pomona 
president . dr. robert e. kennedy p ,*cal state poly sn luis ob ) 
president .| dr. stanford carier | ,*chico state college | 
president . dr. norman a. bax ,*fresno state college 
president . dr. comelius h. sleme ,*humboldt state college 
president . dv. bernard l. hyink ,*sacramento state college 
president . dr. malcolm a. love ,*san diego state college 
president . dr. james cleary ,*san femande viy state c 
president . dr. samuel i. hayakawa ,*san francisco st college 
president . dr. john h. bunzel ,*san jose state college 
ovost sch of expressive arts . hobart f. thomas 5 ,sonoma state college a 
ce pres for academic affairs . dr. william j. mason ,stanislaus state college { 
president . siegfried c. ringwald ,erritos college | 
president . dr. reed l. buffington ,chabot college 
superintendent & president . dr. t stanley warburton ,chaffey college 
president . donald c. kleckner ,chapman college 
president alumni association . rt rev hal r. gross ,church div sch of pacific 
president and superinten ! .nt . dr. robert d. haugh ,citrus college 
president superinten dent . dr. louis f. batmale ,city college sn francisco 
president . dr. bamaby c. keeney ,claremont college sys off 
president . mr. jack l. stark ,*claremont men’s college 
president . joseph b. platt ,*harvey mudd college 
president . mr. robert h. atwall ,*pitzer college 
president . dr. david alexander ,*pomona college 
president . dr. mark h. curtis ,*scripps college 
president . eugene w. smith ,cogswell poly college 
superintendent and president . dr. robert c. rockwell ,college of the canyons 
superintendent and president . . dr. roy c. mccall ,college of the desert 
president . sr. mary ambrose devereux ,college of the holy names 
l superintendent and president . john a. grasham ,college of marin 
res fdent . sr. catharine j. cunningham ,college of notre dame 
resident and superintendent . eugene j. portugal t ,college of the redwoods e 
resident and superintendent . dr. ivan c. crookshanks en ,college of the sequoias 3 
president . wir. eugene schumacher ,.ollege of the siskiyous 
president . dr. harvey b. rhodes ,columbia junior college 
president . dr. abel b. sykes jr. ,compton college 
president . dr. robert . wynne ,{*see also appendix a) 
president . dr. william p. niland ,*diablo valley college 
president superintendent . merlin e. eisenbise ,cuesta college 
president . omar scheidt ,cypress college 
director and dean . randal! c. reid ,deep springs college 
executive director . mr. jose de la isla ,{*enroliment data for fall 1971) 
president . sr. m. samuel conlan ,{*enroliment data for fall 1971) 
president . ev. thomas j. prendrvi ,don bosco technical inst 
president . dr. david a. hubbard 0 ,othill jc system office 
president . dr. john w. casey 0 ,fullerton junior college 
president and superintendent . . dr. r. schroder d ,gavilan college 
president . john t. mccuen vi ,glendale college 
resident . harold k. graves ) ,joldn gate bapt theo! sem . 
resident . r. otto w. but: b ,olden gate college § 
resident . dr. john dillenberger i ,>raduate theol union i 
esident . . mr. e. f. met.gar ,srossmont college { 
superintendent and president . dr. gibb r. madsen ,hartnell college 
irector . mr. thomas d. murray ,heald engr college 
president . john r. humphreys ,humphreys college 
vice president . mary mark zeyet ,immaculate heart college 
president . aerrel spencer ,imperial valley college 
