president names,schools
pres.—cordas c. burnett. ,"bethany bible college, 800 bethany drive, santa cruz (bi; assem of god; coed; sem; ili; 239). "
pres.—samuel h. sutherland. ,chane.—louis t. talbot. 
pres.—c. adrian heaton. ,"california baptist theological semi- nary, covina (—; bapt; coed; qr; iiih; 100). "
pres.—harry x. ford. ,"california college of arts and crafts, 5212 broadway, oakland 18 (w; p; coed; sem; iitih; 789). "
pres.—alfred g. roos. ,"california college of chiropody, 1770 eddy st., san francisco 15 (pod; p; coed; sem; iig; 88). "
pres.—ernest f. seaer. ,"california concordia college, 6325 cam- den st., oakland 5 (—; luth; coed; sem; ie; 82). "
pres.—lee a. dubridge. ,"california institute of technology, pas- adena 4 (w, chem, eng; p; men; ar; ivg;a,279). "
pres.—julian a. mcphee. ,"california state polytechnic college, san luis obispo (nw, w; st; coed; qr; iiif; 5,964). "
,pres.—julian a. mcphee. 
pres.—william c. rust. dean—r. c. cannon. bus. mgr.—edwin e. krapf. reg.—mary s. salisbury. dir. admis.—john r. edwards. lib.—hazel a. pulling. dean of students—a. frederick bunge. dbusiness—russell a. beam. law—robert k. castetter. ,"california western university, 3902 lomaland drive, san diego 6 (w; meth; coed; sem; iiij; 1,420). "
pres.—ralph f. burnight. ,"cerritos college, 11110 bh. alondra blvd., norwalk (w; dist; coed; sem ; ie; 1,759). "
"asst. dir. (student pers. )—earl klap- stein. dean of wo.—amy dozier. summer session—marshall treat. chaffey college, alta loma (w; dist; coed; sem; ie; 1,505). pres.—daniel b. milliken. dir.—rex wignall. compt.—william grigsby. reg.—wesley harmon. lib.—george elser. dean of wo.—june teitsworth. summer session—olof snyder. chapman college, 333 n. glassell st., orange (w; disc. of christ; coed; sem; iiie; 705). pres.—john l. davis. dean—george t. tade. bus. mgr.—guy wainscott, jr. reg.—emery i. owens. admis. off.—howard e. kelley. lib.— bertha m. coddington. dean of students—philip r. thei- bert. graduate—r. b. cutlip. summer session—paul h. demaree. chico state college, chico (w, nur, ted; st; coed; sem; iiif; 3,378). pres.—glenn kendall. dean of instr.—hector h. lee. bus. mgr.—harold w. bramsen. adniis.-ree.—wallin john carlson. reg.—robert o. bess. lib.—norris bleyhl. dean of students—john l. bergstres: ser. summer session—victor m. hous- ",21 
pres.—mrs. nelbert m. chouinard. dean of faculty—gerald j. nordland. bursar—john brewer. ,"chouinard art institute, 743 8. grand view st., los angeles 57 (w; p; coed; sem; iig; 644). "
pres.—louis g. conlan. ,"city college of san francisco, san francisco 12 (w, tech; ©; coed; sem; ic; 4,614). "
"pres.—robert j. bernard, dean—luther j. lee, jr. cont.—pawl t. burton. reg.—herbert k. gutzke. lib.—david w. davles. ","claremont graduate school (inc. as cinremont college), cinremont (w; p; coed; sem; 1ve; 577). "
pres. — george ©. 8. benson. ,"sumner session—lauther j. lee, jr. claremont men’s college, claremont cw; ps men; sem; iib; 886). "
pres.— wugene wood sinith. ,"cogswell polytechnical college, 38000 foisem st., san francisco 10 (teeh ; ps coed; sem; tn; 14t). "
,pres.— wugene wood sinith. 
"pres.—sister imelda marta. denn—nsister m. rose emmanuetlla. treas.—nister m. florence virginian, reg.—sister m. agnes ceclie. lib.—nsister mary ermengarde. ","college of the holy names, oakland (w, mus; rc; wo; sem; ltle; 760). "
,"education directory, "
pres.—sister catharine julie. ,"college of notre dame, belmont (w; rc; wo; sem; lle; 879). "
pres.—w. ballentine heuley. ,"college of osteopathic physicians and surgeons, 1721 griffin ave., los angeles 3l (osteo; p; coed; qr; lg; 359). "
academie yiece pres.—samuel — l. meyer. ,pres.—robert i. burns. 
"dist and co; coed; sem; ic; 3,187). pres.-supt.—julio l. bortolazzo. dean of instr.—philip c. garlington. bus. mgr.—beryl gordon. reg.—herbert r. warne. lib—mary lou faught. ","college of san mateo, san mateo (w; "
pres.—myrel j. greenshields. admin. asst.—harry w. beck. lib.—james simmons. ,"college of the siskiyous, r. 1, box 1025, weed (—; dist; coed; sem; ic; 98). "
pres.—phil h. putnam. ,"compton district junior college, comp- ton 3 (w.; dist.; coed.; sem.; ic; 3,890). "
pres.—sister m. patrick. dean of studies—sister m. richard. treas.—sister m. eileen. ,"dominican college of san rafael, san rafael (w; rc; wo; sem; iile; 583). "
pres.—benjamin k. swartz. ,"east los angeles college, 5357 e. brooklyn ave., los angeles 22 (w; dist; coed; sem; if; 8,861). "
pres.—stuart e. marsee. ,"el camino college, el camino college (w; dist; coed; sem; ic; 7,860). "
supt.-pres.—calvin c. flint. ,"foothill college, 150 el camino real, mountain view (w; dist; coed; sem; ic; 2,384). "
pres.—stuart m. white. ,"fresno city college, fresno 4 (w;; dist ; coed; sem; ic; 4,095). "
,pres.—stuart m. white. 
pres.—arnold e. joyal. ,"fresno state college, fresno 26 (w, bus, chem, jour. ted; st; coed; sem; iiif; 6,368). "
"oakland, pasadena 1 (theol; p; coed; qr. ; iiig; 282). pres.—harold john ockenga, acting. dean of faculty—harold lindsell. bus. mgr.—richard curley. reg.—mary he. ashley. lib.—clara b. allen. dean of students—wm. c. lantz, acting. ","fuller theological seminary, 135 n. "
pres.—h. lynn sheller. ,"fullerton junior college, fullerton (w; dist; coed; sem; ic; 3,404). "
"pres.—m. norvel young. dean—j. p. sanders. bus. off.—j.c. moore, jr. reg.—ludene slatton. lib.—harold holland. assoc. dean of students—robert e. davidson. summer session—j. p. sanders. ","george pepperdine college, los ange- les (nw, w; p; coed; sem; iiie; 1,037). "
pres.—robert d. haugh. ,"glendale college, glendale 8 (w; dist; coed; sem; ic; 2,664). "
pres.—harold k. graves. dean—wnm. a. carleton. bus. mgr.—paul e. mason. reg.—isma martin. lib.—a. j. hyatt. ,"golden gate baptist theological semi- nary, strawberry point, mill val- ley (—; 8s bapt; coed; sem; iiig; aii). "
pres.—russell thornley sharpe. dean—howard martin. ,"golden gate college, san francisco 2 (nw, w, flaw; p; coed; term; tht}; * 15627). "
pres.—j. f. ching. ,"hartnell college, salinas (w; dist; coed ; sem; ic; 1,090). "
asst. to pres.—edward f. little. ,cont.—paul h. burton. 
pres.—l. c. thunen. ,"heald engineering college, van ness ave. at post, san franciseo (—;3 prop; coed; qr; vi;° 1,043). "
pres.—cornelius h. siemens. ,"humboldt state college, arcata (w.; st; coed; sem; iiif; 1,932). "
pres.—john r. humphreys. ,"humphreys college, 108 n. california st., stockton (jeb; p; coed; qr; ic; 445). "
pres.—sister m. humiliata. ,"immaculate heart college, los ange- les 27 (w, mus; rc; wo; sem; ille; 1620); "
pres.—milo p. johnson. bus. asst.—audrey d. thomas. ,"imperial valley college, 155 south 11th street, el] centro (w; dist; coed; sem; ic; 671). "
w; sda; coed; sem; ile; 912). pres.—william mm. landeen. dean—ronald d. drayson. ,"la sierra college, arlington (nw., "
of breth; coed; sem; iie; 500). pres.—harold d. fasnacht. dean—paul b. baum. ,"la verne college, la verne (w.; ch. "
pres.—carl w. mcintosh. ,"long beach state college, 6101 east seventh st., long beach 4 (nw., w; st; coed; sem; iile; 9,311). "
pres.—john lombardi. ,"los angeles city college, los angeles 29 (w; c; coed; sem; ic; 19,295). "
"pres.—vierling kersey, sr. dean—charles a. abel. compt.-reg.—james f. english. ","los angeles college of optometry, 950 w. jefferson st., los angeles 7 (opt; p; coed; sem; iiig; 136). "
pres.-dir.—g. willard bassett. ,"and arts, 8901 sunset blvd., los angeles 46 (mus; p; coed; sem; iiih; 94). "
pres.—john n. given. ,"los angeles metropolitan college of business, 1601 olive st., los an- geles 15 (w; dist; coed; sem; ic; 3,894). "
"pres.—john b. shepard. dean of instr.—louis e. hoffman. dean (admis.-guid.)—john s. neb- lett. lib.—helene s. sloat. dean of student activities—vierling kersey, jr. iixtended day—claude r. parker. ","los angeles pierce college, woodland hills (qw; c; coed; seme ic; 6,825). "
pres.—francis parker wilber. ,"los angeles trade-technical college, 400 w. washington blvd., los angeles 15 (w; c; coed; sem; ia; 8,995). "
"pres.—wm. j. menelis. dean of instr.—charles 8. marsh, jr. admis.-guid.—robert j. nassi. lib.—june marie biermann. dean, student activities—nena s. royer. extended day—donald w. click. ","los angeles valley college, 5800 ful- ton ave., van nuys (w; c; coed; sem; ic; 6,211). "
pres.—mother m. gertrude. ,pres.—charles 8. casassa. 
pres.—william e. kratt. ,men; sem; iib; 422). 
"pres.—c., easton rothwell. ",p; wo; sem; iiie; 726). 
"dist; coed; sem; ic; 2,446). pres.—harry wiser. dean of instr.—j. kenneth rowland. bus. asst. to pres.—harry hammer. lib.—helen f. pierce. ","modesto junior college, modesto (w; "
"(w; dist; coed; sem; ic; 2,808). pres.—frederick huber. dean of instr.—richard v. matteson. reg.—louise white. lib.—margaret thompson. dean of students—ralph smith. evening and summer sessions— linden leavitt. ","monterey peninsula college, monterey "
pres.—sister rose gertrude. dean—sister alice marie. treas.—sister francis mary. reg.—sister mary adrienne. lib.—sister catherine anita. ,"mount st. mary’s college, los angeles (w, mus, nur; rc; wo; sem; iiif; 1,088). "
pres.—james l. mckinley. dean—kk. l. strite. ,"northrop institute of technology, 1155 arbor vitae st., inglewood 1 (w, tech; p; men; qr: ili; 1,522). "
pres.—arthur g. coons. ,higher education—california 76 
,"oceanside-carlsbad college, oceanside "
pres.—kenneth a. stewart. dean—harold w. ford. bursar—wnm. harvey beard. ,"pacific bible seminary, 4835 east ana- heim, long beach 4 (—; ch of christ; coed; sem; iiig; 110). "
"pres.-dean—charles b. foelsch. reg.—betty djonne, acting. graduate—e. theo. bachmann. ","pacific lutheran theological semi- nary, 2770 marin ave., berkeley 8 (= luth; men; qr; iiii; 86). "
pres.—stuart leroy anderson. dean—robert e. fitch. cont.—gerald l. painter. ,"pacific school of religion, berkeley 9 (theol ; interdenom ; coed ; qr; ivh; 139). "
pres.—r. w. fowler. ,w; sda; coed; qr; iiie; 925). 
pres.—john w. dunn. ,"sau marcos (w.; dist; coed; sem; ic; 1,396). "
"dist; coed; sem; ic; 9,375). pres.—catherine j. robbins. admin. dean—john e. twomey. bus. asst.—earl] w. holder. dean, admis.-rec.—john b. weldon. lib.—william k. grainger. dean of student pers.—florence l. brubaker. summer session and extended day school—albert v. bean. ","ward. pasadena city college, pasadena (w; "
w; naz; coed; sem; iiij; 952). pres.—oscar j. finch. dean of college—paul t. culbertson. bus. mgr.—j. b. deisenroth. reg.—cecil w. miller. lib.—elizabeth hall. dean of students—james h. jackson. graduate school of religion—ross e. price. summer session—harvey b. sny- der. ,"pasadena college, pasadena 7 (nw., "
"p; coed; sem; iib; 1,099). pres.—e. wilson lyon. dean of faculty—ernest a. strath- mann. treas.—william v. shannon. reg.—mrs. masago s. armstrong. dean of admis.-dean of students— j. edward sanders. lib.—david w. davies. dean of men—shelton l. beatty. dean of wo.—jean b. walton. porterville (w; dist; coed; sem; ic; 460). supt.—c. w. easterbrook. dir.—o. h. shires. ","pomona college, claremont (w, chem; "
supt.-pres.—stephen e. epler. ,"reedley college, reedley (w; dist; coed; sem; ic; 1,046). "
pres.—o. w. noble. ,"riverside city college, riverside (w; dist; coed; sem; ic; 2,160). "
pres.—harold h. stephenson. ,pres.—o. w. noble. 
,pres.—harold h. stephenson. 
,vice pres. (admin. relations)—ruth s. thomas. 
pres.—guy a. west. ,vice pres. (ed. relations)—peter w. knoles. 
pres.—william j. kenneally. ,"st. john’s college, camarillo (w; rc; men; sem; iij; 172). "
pres.—bro. s. albert. ,"st. mary’s college of california, st. mary’s college (w ; rc; men; sem; iib; 782). "
,1960-61 
